Well identifier,Surface,X,Y,Z,MD,TWT picked,Z * -1,VINT,TWT auto
21/30-13Z,Balder,376591.46,6329489.55,-6288.21,7044,,6288.21,6421.422408,1958.51
21/30-14,Balder,377222.07,6326681.26,-6667.89,6758,,6667.89,6511.611328,2048
21/30-17,Balder,375554.78,6324142.56,-6595.99,6684,,6595.99,6558.116875,2011.55
21/30-18,Balder,376822.31,6322431.78,-6453.66,6697,,6453.66,6533.267869,1975.63
22/26a-1,Balder,381153.02,6326939.93,-7553.62,7634,,7553.62,6575.226323,2297.6
22/27a-1,Balder,392876.87,6329892.3,-8830.56,8920,,8830.56,6519.953632,2708.78
29/01c-9Z,Balder,383866.13,6317638.58,-7340.12,8052,,7340.12,6464.24687,2270.99
21/30-1,Ekofisk,377065.34,6328976.89,-6809.8,6898,2089.39,6809.8,6528.393594,2086.21
21/30-13Z,Ekofisk,376463.44,6329679.17,-7438.32,8420,2172,7438.32,6935.496503,2145
21/30-15,Ekofisk,376376.72,6327989.62,-7111.88,7202,2161.72,7111.88,6608.417698,2152.37
22/26a-1,Ekofisk,381147.96,6326934.89,-8691.38,8772,2548.37,8691.38,6826.78124,2546.26
22/27a-1,Ekofisk,392867.65,6329902.34,-10067.72,10158,2735.12,10067.72,6882.193504,2925.73
29/01c-9Z,Ekofisk,383846.7,6317612.36,-7908.64,8633,2309.41,7908.64,6572.049444,2406.75
21/30-13Z,Forties,376564.52,6329534.14,-6512.46,7326,,6512.46,6497.094372,2004.73
21/30-14,Forties,377221.81,6326680.83,-6812.88,6903,,6812.88,6543.327619,2082.39
21/30-15,Forties,376375.71,6327990.37,-6756.9,6847,,6756.9,6531.750558,2068.94
21/30-17,Forties,375554.69,6324143,-6672.97,6761,,6672.97,6577.789388,2028.94
22/26a-1,Forties,381151.09,6326938,-7988.52,8069,,7988.52,6660.791188,2398.67
22/27a-1,Forties,392875.53,6329894.46,-9027.38,9117,,9027.38,6570.432479,2747.88
21/30-1,Fulmar,377065.1,6328993.51,-8116.37,8206,,8116.37,6961.940951,2331.64
21/30-18,Fulmar,376629.6,6322677.96,-9412.04,9871,,9412.04,7276.778501,2586.87
22/27a-1,Fulmar,392831.25,6329913.25,-14653.91,14746,,14653.91,8220.987377,3565
21/30-17,GOC,375555.12,6324141.4,-6387.02,6475,,6387.02,6500.882965,1964.97
